Comment,label,databersih,Tokenized,Remove stopwords,stemming,label_angka
"maaf mas @kaesangp saya baca captionmu, tapi saya tidak sendiri tuh gimana😂",bukan ujaran kebencian,maaf kakak aku baca captionmu tapi aku tidak sendiri itu gimana,"['maaf', 'kakak', 'aku', 'baca', 'captionmu', 'tapi', 'aku', 'tidak', 'sendiri', 'itu', 'gimana']",maaf kakak baca captionmu gimana,maaf kakak baca captionmu gimana,1
"semoga jadi keluarga yg baik dan bahagia berguna bagi keluarga, masarakat dan negara 😄😃",bukan ujaran kebencian,semoga jadi keluarga yang baik dan bahagia berguna bagi keluarga masarakat dan negara,"['semoga', 'jadi', 'keluarga', 'yang', 'baik', 'dan', 'bahagia', 'berguna', 'bagi', 'keluarga', 'masarakat', 'dan', 'negara']",semoga keluarga bahagia berguna keluarga masarakat negara,moga keluarga bahagia guna keluarga masarakat negara,1
dua tiga makan mie.....maaf saya sudah punya suami,bukan ujaran kebencian,dua tiga makan mie maaf aku sudah punya suami,"['dua', 'tiga', 'makan', 'mie', 'maaf', 'aku', 'sudah', 'punya', 'suami']",makan mie maaf suami,makan mie maaf suami,1
anak itik ada empat. mbaknya cantik bawa bodigat,bukan ujaran kebencian,anak itik ada empat mbaknya cantik bawa bodigat,"['anak', 'itik', 'ada', 'empat', 'mbaknya', 'cantik', 'bawa', 'bodigat']",anak itik mbaknya cantik bawa bodigat,anak itik mbak cantik bawa bodigat,1
aku udh punya anak 3😀,bukan ujaran kebencian,aku sudah punya anak,"['aku', 'sudah', 'punya', 'anak']",anak,anak,1
dua tiga bajay. anjayyyyyy,bukan ujaran kebencian,dua tiga bajay anjay,"['dua', 'tiga', 'bajay', 'anjay']",bajay anjay,bajay anjay,1
minta sarannya dong obat paling ampuh buat nurunin mata minus silinder 😂,bukan ujaran kebencian,meminta sarannya dong obat paling ampuh buat menuruni mata minus silinder,"['meminta', 'sarannya', 'dong', 'obat', 'paling', 'ampuh', 'buat', 'menuruni', 'mata', 'minus', 'silinder']",sarannya obat ampuh menuruni mata minus silinder,saran obat ampuh turun mata minus silinder,1
dua tiga mobil ferrari. mon maaf udah punya calon suami😂,bukan ujaran kebencian,dua tiga mobil ferrari mohon maaf sudah punya calon suami,"['dua', 'tiga', 'mobil', 'ferrari', 'mohon', 'maaf', 'sudah', 'punya', 'calon', 'suami']",mobil ferrari mohon maaf calon suami,mobil ferrari mohon maaf calon suami,1
"mentolo misuh aku ning kene, tapi wedi diciduk 😢",bukan ujaran kebencian,mentolo misuh aku ning kene tapi wedi diciduk,"['mentolo', 'misuh', 'aku', 'ning', 'kene', 'tapi', 'wedi', 'diciduk']",mentolo misuh ning kene wedi diciduk,mentolo misuh ning kene wedi ciduk,1
captionmu mas tulung🙏🏻,bukan ujaran kebencian,captionmu kakak tulung,"['captionmu', 'kakak', 'tulung']",captionmu kakak tulung,captionmu kakak tulung,1
ealah😢,bukan ujaran kebencian,ealah,['ealah'],ealah,ealah,1
saya nyesel baca caption,bukan ujaran kebencian,aku menyesal baca caption,"['aku', 'menyesal', 'baca', 'caption']",menyesal baca caption,sesal baca caption,1
om bagi duitt,bukan ujaran kebencian,om bagi duitt,"['om', 'bagi', 'duitt']",om duitt,om duitt,1
subhanallah. bahagianya seorang istri 🥺🤲,bukan ujaran kebencian,subhanallah bahagianya seorang istri,"['subhanallah', 'bahagianya', 'seorang', 'istri']",subhanallah bahagianya istri,subhanallah bahagia istri,1
kasipaham mas wali🤩,bukan ujaran kebencian,kasipaham kakak wali,"['kasipaham', 'kakak', 'wali']",kasipaham kakak wali,kasipaham kakak wali,1
psgn sempurna,bukan ujaran kebencian,pasangan sempurna,"['pasangan', 'sempurna']",pasangan sempurna,pasang sempurna,1
ngakak salfok mas kaosan item belakang gak sanggup melihat keuwuannya 😂😂😂,bukan ujaran kebencian,tertawa salah fokus kakak kaosan hitam belakang tidak sanggup melihat keuwuannya,"['tertawa', 'salah', 'fokus', 'kakak', 'kaosan', 'hitam', 'belakang', 'tidak', 'sanggup', 'melihat', 'keuwuannya']",tertawa salah fokus kakak kaosan hitam sanggup keuwuannya,tertawa salah fokus kakak kaos hitam sanggup keuwuannya,1
beautiful semoga selalu amanah semuanya........orang baik akan mendapatkan hasil yang baik pula.....aamiin😍😍😍,bukan ujaran kebencian,cantik semoga selalu amanah semuanya orang baik akan mendapatkan hasil yang baik pula aamiin,"['cantik', 'semoga', 'selalu', 'amanah', 'semuanya', 'orang', 'baik', 'akan', 'mendapatkan', 'hasil', 'yang', 'baik', 'pula', 'aamiin']",cantik semoga amanah orang hasil aamiin,cantik moga amanah orang hasil aamiin,1
semenjak jadi suaminya mbk @erinagudono mas @kaesangp iki tambaah ganteng..wkwkkw temenan iki.. asli g ngapusi.. semoga langgeng sampek kakek nenek..aamiin,bukan ujaran kebencian,semenjak jadi suaminya kakak kakak ini tambaah ganteng wkwkkw berteman iki asli tidak ngapusi semoga langgeng sampai kakek nenek aamiin,"['semenjak', 'jadi', 'suaminya', 'kakak', 'kakak', 'ini', 'tambaah', 'ganteng', 'wkwkkw', 'berteman', 'iki', 'asli', 'tidak', 'ngapusi', 'semoga', 'langgeng', 'sampai', 'kakek', 'nenek', 'aamiin']",semenjak suaminya kakak kakak tambaah ganteng wkwkkw berteman iki asli ngapusi semoga langgeng kakek nenek aamiin,semenjak suami kakak kakak tambaah ganteng wkwkkw teman iki asli ngapusi moga langgeng kakek nenek aamiin,1
kata-katanya so sweet banget mas. sehat selalu bumil 😍😍😍😍😍,bukan ujaran kebencian,kata katanya sok sweet sekali mas sehat selalu ibu hamil,"['kata', 'katanya', 'sok', 'sweet', 'sekali', 'mas', 'sehat', 'selalu', 'ibu', 'hamil']",sok sweet mas sehat hamil,sok sweet mas sehat hamil,1
"mas @kaesangp  beneran pasti mbak @erinagudono nih istri jempolan. mas kaesang beneran cakepan dan glowing pas udah sama mbak erina.langgeng dan semoga selalu dicintai allah swt ya, mbakku, masku ❤️",bukan ujaran kebencian,kakak benaran pasti kakak ini istri jempolan kakak kaesang benaran cakepan dan cahaya pas sudah sama kakak erina langgeng dan semoga selalu dicintai allah subhanahu whatsapp taala ya mbakku masku,"['kakak', 'benaran', 'pasti', 'kakak', 'ini', 'istri', 'jempolan', 'kakak', 'kaesang', 'benaran', 'cakepan', 'dan', 'cahaya', 'pas', 'sudah', 'sama', 'kakak', 'erina', 'langgeng', 'dan', 'semoga', 'selalu', 'dicintai', 'allah', 'subhanahu', 'whatsapp', 'taala', 'ya', 'mbakku', 'masku']",kakak benaran kakak istri jempolan kakak kaesang benaran cakepan cahaya pas kakak erina langgeng semoga dicintai allah subhanahu whatsapp taala ya mbakku masku,kakak benar kakak istri jempol kakak kaesang benar cakep cahaya pas kakak erina langgeng moga cinta allah subhanahu whatsapp taala ya mbak mas,1
terimakasih,bukan ujaran kebencian,terima kasih,"['terima', 'kasih']",terima kasih,terima kasih,1
mas kaesang kalau jadi walikota depok nanti naik kuda ya kunjungannya kemana2.😁,bukan ujaran kebencian,kakak kaesang kalau jadi wali kota depok nanti naik kuda ya kunjungannya kemana,"['kakak', 'kaesang', 'kalau', 'jadi', 'wali', 'kota', 'depok', 'nanti', 'naik', 'kuda', 'ya', 'kunjungannya', 'kemana']",kakak kaesang wali kota depok kuda ya kunjungannya kemana,kakak kaesang wali kota depok kuda ya kunjung mana,1
langgeng terus kk,bukan ujaran kebencian,langgeng terus kakak,"['langgeng', 'terus', 'kakak']",langgeng kakak,langgeng kakak,1
the real manusia munafik.. apa pun makanan nya minumnya ya jilat ludah sndri,bukan ujaran kebencian,sebuah nyata manusia munafik apa pun makanan nya minumnya ya jilat ludah sendiri,"['sebuah', 'nyata', 'manusia', 'munafik', 'apa', 'pun', 'makanan', 'nya', 'minumnya', 'ya', 'jilat', 'ludah', 'sendiri']",nyata manusia munafik makanan nya minumnya ya jilat ludah,nyata manusia munafik makan nya minum ya jilat ludah,1
"sea aquarium❤️s*',*⁰di😍",bukan ujaran kebencian,sea aquariums di,"['sea', 'aquariums', 'di']",sea aquariums,sea aquariums,1
so romanticism.,bukan ujaran kebencian,sok romanticism,"['sok', 'romanticism']",sok romanticism,sok romanticism,1
"mon maap berdarah darah versi kalian ga seberdarah versiii kamiii 😭😭😭😭😭😭 , ini udah bernanah kalo saya sih 😅😅😅",bukan ujaran kebencian,mohon maaf berdarah darah versi kalian tidak seberdarah versi kami ini sudah bernanah kalau aku sih,"['mohon', 'maaf', 'berdarah', 'darah', 'versi', 'kalian', 'tidak', 'seberdarah', 'versi', 'kami', 'ini', 'sudah', 'bernanah', 'kalau', 'aku', 'sih']",mohon maaf berdarah darah versi seberdarah versi bernanah sih,mohon maaf darah darah versi darah versi nanah sih,1
lucu banget sihh,bukan ujaran kebencian,lucu sekali sih,"['lucu', 'sekali', 'sih']",lucu sih,lucu sih,1
"slide ke 2
@erinagudono ; paham nggih mas ampun dibaleni meleh
@kaesangp ;njih dek aku padamu😂😂😂😂",bukan ujaran kebencian,slide ke paham iya kakak ampun dibaleni meleh njih dik aku padamu,"['slide', 'ke', 'paham', 'iya', 'kakak', 'ampun', 'dibaleni', 'meleh', 'njih', 'dik', 'aku', 'padamu']",slide paham iya kakak ampun dibaleni meleh njih dik padamu,slide paham iya kakak ampun balen meleh njih dik pada,1
"coba bisa jadi wali kota cirebon pasti inspirasi guru""tk,paud, ra dan guru""yg honor nya jauh bangat bisa di tampung apa lg kami yg hanya sekolah sma menjadi guru pembimbing engga seenak mereka yg dapat tunjangan karena s1",bukan ujaran kebencian,coba bisa jadi wali kota cirebon pasti inspirasi guru tk paud ra dan guru yg honor nya jauh sekali bisa di tampung apa lagi kami yang hanya sekolah sama menjadi guru pembimbing tidak seenak mereka yang dapat tunjangan karena s,"['coba', 'bisa', 'jadi', 'wali', 'kota', 'cirebon', 'pasti', 'inspirasi', 'guru', 'tk', 'paud', 'ra', 'dan', 'guru', 'yg', 'honor', 'nya', 'jauh', 'sekali', 'bisa', 'di', 'tampung', 'apa', 'lagi', 'kami', 'yang', 'hanya', 'sekolah', 'sama', 'menjadi', 'guru', 'pembimbing', 'tidak', 'seenak', 'mereka', 'yang', 'dapat', 'tunjangan', 'karena', 's']",coba wali kota cirebon inspirasi guru tk paud ra guru yg honor nya tampung sekolah guru pembimbing seenak tunjangan s,coba wali kota cirebon inspirasi guru tk paud ra guru yg honor nya tampung sekolah guru bimbing enak tunjang s,1
makin cantik aja mbk.. cocok jadi ibu negara selanjutnya,bukan ujaran kebencian,makin cantik saja mbk cocok jadi ibu negara selanjutnya,"['makin', 'cantik', 'saja', 'mbk', 'cocok', 'jadi', 'ibu', 'negara', 'selanjutnya']",cantik mbk cocok negara,cantik mbk cocok negara,1
depok pertama. doa yg terbaik❤️.amin,bukan ujaran kebencian,depok pertama doa yang terbaik amin,"['depok', 'pertama', 'doa', 'yang', 'terbaik', 'amin']",depok doa terbaik amin,depok doa baik amin,1
kalau dilihat-lihat mas kaesang mirip pak presiden ya,bukan ujaran kebencian,kalau dilihat lihat kakak kaesang mirip bapak presiden ya,"['kalau', 'dilihat', 'lihat', 'kakak', 'kaesang', 'mirip', 'bapak', 'presiden', 'ya']",lihat kakak kaesang presiden ya,lihat kakak kaesang presiden ya,1
aku mau juga dong berdarah darah bareng... ( ikut tradisi perang pandan/mekare di desa tenganan ),bukan ujaran kebencian,aku mau juga dong berdarah darah bareng ikut tradisi perang pandan mekare di desa tenganan,"['aku', 'mau', 'juga', 'dong', 'berdarah', 'darah', 'bareng', 'ikut', 'tradisi', 'perang', 'pandan', 'mekare', 'di', 'desa', 'tenganan']",berdarah darah bareng tradisi perang pandan mekare desa tenganan,darah darah bareng tradisi perang pandan mekare desa tenganan,1
semoga kalaupun masuk politik mas @kaesangp @erinagudono bs mjd salah 1 dr sekian sedikit pejabat2 yg jujur dan bijaksana di indonesia. sokor2 jadi bupati klaten lah.,bukan ujaran kebencian,semoga kalaupun masuk politik kakak bisa menjadi salah dari sekian sedikit pejabat yang jujur dan bijaksana di indonesia sokor jadi bupati klaten lah,"['semoga', 'kalaupun', 'masuk', 'politik', 'kakak', 'bisa', 'menjadi', 'salah', 'dari', 'sekian', 'sedikit', 'pejabat', 'yang', 'jujur', 'dan', 'bijaksana', 'di', 'indonesia', 'sokor', 'jadi', 'bupati', 'klaten', 'lah']",semoga masuk politik kakak salah sekian pejabat jujur bijaksana indonesia sokor bupati klaten,moga masuk politik kakak salah sekian jabat jujur bijaksana indonesia sokor bupati klaten,1
semenjak nikah kaesang ganteng ya 😍😂 @erinagudono @kaesangp,bukan ujaran kebencian,semenjak nikah kaesang ganteng ya,"['semenjak', 'nikah', 'kaesang', 'ganteng', 'ya']",semenjak nikah kaesang ganteng ya,semenjak nikah kaesang ganteng ya,1
ayoo mas. .jd walikota depok. .ane warga depok nih siap dukung mas,bukan ujaran kebencian,ayo mas jd wali kota depok ane warga depok ini siap dukung kakak,"['ayo', 'mas', 'jd', 'wali', 'kota', 'depok', 'ane', 'warga', 'depok', 'ini', 'siap', 'dukung', 'kakak']",ayo mas jd wali kota depok ane warga depok dukung kakak,ayo mas jd wali kota depok ane warga depok dukung kakak,1
ka katanya diedit siapa nii...dramatic sekalii yaa😮😮,bukan ujaran kebencian,kakak katanya diedit siapa nii dramatic sekali yaa,"['kakak', 'katanya', 'diedit', 'siapa', 'nii', 'dramatic', 'sekali', 'yaa']",kakak diedit nii dramatic yaa,kakak edit nii dramatic yaa,1
coswit,bukan ujaran kebencian,coswit,['coswit'],coswit,coswit,1
@kopitripawns bali - denpasar - indonesia 👍❤️🇮🇩,bukan ujaran kebencian,bali denpasar indonesia,"['bali', 'denpasar', 'indonesia']",bali denpasar indonesia,bal denpasar indonesia,1
pantes makin ganteng abis nikah 😍😍😍😍 congrats yahhhh babang oppaa @kaesangp,bukan ujaran kebencian,pantas makin ganteng habis nikah selamat yah babang oppa,"['pantas', 'makin', 'ganteng', 'habis', 'nikah', 'selamat', 'yah', 'babang', 'oppa']",ganteng habis nikah selamat yah babang oppa,ganteng habis nikah selamat yah babang oppa,1
persis solo!!!,bukan ujaran kebencian,persis solo,"['persis', 'solo']",persis solo,persis solo,1
sama seperti do'aku utkmu suamikuh @zikoriandy 💛💛💛,bukan ujaran kebencian,sama seperti do aku untukmu suamikuh,"['sama', 'seperti', 'do', 'aku', 'untukmu', 'suamikuh']",do untukmu suamikuh,do untuk suamikuh,1
"kerendahan hati seorang suami kepada istri....walaupun dia sebagai pemimpin dalam keluarga, tetapi mau mendengarkan nasehat2 istri....tidak menganggap istri sebagai konco wingking semata...tetapi istri punya peran sebagai ""penolong suami""....gak mudah buat seorang laki2 mau ndengeri nasehat2 istrj...salut aku pada mas kaesang...smoga langgeng ya rumahtangga kalian hingga maut memisahkan.amin amin amkn",bukan ujaran kebencian,kerendahan hati seorang suami kepada istri walaupun dia sebagai pemimpin dalam keluarga tetapi mau mendengarkan nasehat istri tidak menganggap istri sebagai konco wingking semata tetapi istri punya peran sebagai penolong suami gak mudah buat seorang laki laki mau ndengeri nasehat istrj salut aku pada kakak kaesang smoga langgeng ya rumah tangga kalian hingga maut memisahkan amin amin amkn,"['kerendahan', 'hati', 'seorang', 'suami', 'kepada', 'istri', 'walaupun', 'dia', 'sebagai', 'pemimpin', 'dalam', 'keluarga', 'tetapi', 'mau', 'mendengarkan', 'nasehat', 'istri', 'tidak', 'menganggap', 'istri', 'sebagai', 'konco', 'wingking', 'semata', 'tetapi', 'istri', 'punya', 'peran', 'sebagai', 'penolong', 'suami', 'gak', 'mudah', 'buat', 'seorang', 'laki', 'laki', 'mau', 'ndengeri', 'nasehat', 'istrj', 'salut', 'aku', 'pada', 'kakak', 'kaesang', 'smoga', 'langgeng', 'ya', 'rumah', 'tangga', 'kalian', 'hingga', 'maut', 'memisahkan', 'amin', 'amin', 'amkn']",kerendahan hati suami istri pemimpin keluarga mendengarkan nasehat istri menganggap istri konco wingking istri peran penolong suami gak mudah laki laki ndengeri nasehat istrj salut kakak kaesang smoga langgeng ya rumah tangga maut memisahkan amin amin amkn,rendah hati suami istri pimpin keluarga dengar nasehat istri anggap istri konco wingking istri peran tolong suami gak mudah laki laki ndengeri nasehat istrj salut kakak kaesang smoga langgeng ya rumah tangga maut pisah amin amin amkn,1
tanpa senyum mas kaesang sangat cocok dengan bentuk muka nya 😎,bukan ujaran kebencian,tanpa senyum kakak kaesang sangat cocok dengan bentuk muka nya,"['tanpa', 'senyum', 'kakak', 'kaesang', 'sangat', 'cocok', 'dengan', 'bentuk', 'muka', 'nya']",senyum kakak kaesang cocok bentuk muka nya,senyum kakak kaesang cocok bentuk muka nya,1
aaa cocwit,bukan ujaran kebencian,a cocwit,"['a', 'cocwit']",a cocwit,a cocwit,1
mas kaesang kalo punya anak mo kost di tempat saya ga ? wkkwkw,bukan ujaran kebencian,kakak kaesang kalau punya anak mau indekos di tempat aku tidak wkwk,"['kakak', 'kaesang', 'kalau', 'punya', 'anak', 'mau', 'indekos', 'di', 'tempat', 'aku', 'tidak', 'wkwk']",kakak kaesang anak indekos wkwk,kakak kaesang anak indekos wkwk,1
semoga yg jones segera dapat pendamping❤️❤️❤️😍😍😍,bukan ujaran kebencian,semoga yang jones segera dapat pendamping,"['semoga', 'yang', 'jones', 'segera', 'dapat', 'pendamping']",semoga jones pendamping,moga jones damping,1
mas kaesang punya istri jd level gantengnya bertambah......,bukan ujaran kebencian,kakak kaesang punya istri jadi level gantengnya bertambah,"['kakak', 'kaesang', 'punya', 'istri', 'jadi', 'level', 'gantengnya', 'bertambah']",kakak kaesang istri level gantengnya bertambah,kakak kaesang istri level ganteng tambah,1
"konten di yt kok ilang mas, piye to?",bukan ujaran kebencian,konten di youtube kok hilang mas bagaimana to,"['konten', 'di', 'youtube', 'kok', 'hilang', 'mas', 'bagaimana', 'to']",konten youtube hilang mas to,konten youtube hilang mas to,1
gaskeun🔥,bukan ujaran kebencian,gaskeun,['gaskeun'],gaskeun,gaskeun,1
kapan ya di banggain gini sama suami? 😢,bukan ujaran kebencian,kapan ya di banggakan begini sama suami,"['kapan', 'ya', 'di', 'banggakan', 'begini', 'sama', 'suami']",ya banggakan suami,ya bangga suami,1
"2024 wali kota, 2045 gibran residen wakilnya kaesang 🤭",bukan ujaran kebencian,wali kota gibran residen wakilnya kaesang,"['wali', 'kota', 'gibran', 'residen', 'wakilnya', 'kaesang']",wali kota gibran residen wakilnya kaesang,wali kota gibran residen wakil kaesang,1
podkaesang mana ckckck,bukan ujaran kebencian,podkaesang mana wkwk,"['podkaesang', 'mana', 'wkwk']",podkaesang wkwk,podkaesang wkwk,1
bismilah depok 1 depok 2 tengah dan depok timur akan aman kalo mas jadi wali kota😂😂,bukan ujaran kebencian,bismilah depok depok tengah dan depok timur akan aman kalau kakak jadi wali kota,"['bismilah', 'depok', 'depok', 'tengah', 'dan', 'depok', 'timur', 'akan', 'aman', 'kalau', 'kakak', 'jadi', 'wali', 'kota']",bismilah depok depok depok timur aman kakak wali kota,bismilah depok depok depok timur aman kakak wali kota,1
kalau gak salah pernah blng gak mau jadi pejabat karena gaji nya kecil enakan pengusaha penghasilan besar.,bukan ujaran kebencian,kalau tidak salah pernah bilang tidak mau jadi pejabat karena gaji nya kecil enakan pengusaha penghasilan besar,"['kalau', 'tidak', 'salah', 'pernah', 'bilang', 'tidak', 'mau', 'jadi', 'pejabat', 'karena', 'gaji', 'nya', 'kecil', 'enakan', 'pengusaha', 'penghasilan', 'besar']",salah bilang pejabat gaji nya enakan pengusaha penghasilan,salah bilang jabat gaji nya enak usaha hasil,1
"cuman mau komen, depok 1 aja harus follow dulu ((",bukan ujaran kebencian,hanya mau komen depok saja harus follow dulu,"['hanya', 'mau', 'komen', 'depok', 'saja', 'harus', 'follow', 'dulu']",komen depok follow,komen depok follow,1
"dwek mu akeh mas, di senyumi ae makane, kene ki susuanak entek wayahe bayar kos misan,bayaran liwat bayaran liwat, salah omong titik neng wong wedok di ureng2 ae😂😂😂😂😂",bukan ujaran kebencian,dwek mu banyak mas di senyumi saja makane sini ki susuanak entek waktunya bayar kos misan bayaran liwat bayaran liwat salah omong titik neng orang wedok di ureng ae,"['dwek', 'mu', 'banyak', 'mas', 'di', 'senyumi', 'saja', 'makane', 'sini', 'ki', 'susuanak', 'entek', 'waktunya', 'bayar', 'kos', 'misan', 'bayaran', 'liwat', 'bayaran', 'liwat', 'salah', 'omong', 'titik', 'neng', 'orang', 'wedok', 'di', 'ureng', 'ae']",dwek mu mas senyumi makane ki susuanak entek bayar kos misan bayaran liwat bayaran liwat salah omong titik neng orang wedok ureng ae,dwek mu mas senyum makane ki susuanak entek bayar kos misan bayar liwat bayar liwat salah omong titik neng orang wedok ureng ae,1
pok depok,bukan ujaran kebencian,pok depok,"['pok', 'depok']",pok depok,pok depok,1
pehhhhh caption mu kok dengaren men 😂,bukan ujaran kebencian,peh caption mu kok dengaren men,"['peh', 'caption', 'mu', 'kok', 'dengaren', 'men']",peh caption mu dengaren men,peh caption mu dengaren men,1
"bapak presiden, anak  yg satu walikota, mantu walikota, anak yang satu lagi mau jadi walikota, mantaaaf",bukan ujaran kebencian,bapak presiden anak yang satu walikota mantu walikota anak yang satu lagi mau jadi walikota mantaf,"['bapak', 'presiden', 'anak', 'yang', 'satu', 'walikota', 'mantu', 'walikota', 'anak', 'yang', 'satu', 'lagi', 'mau', 'jadi', 'walikota', 'mantaf']",presiden anak walikota mantu walikota anak walikota mantaf,presiden anak walikota mantu walikota anak walikota mantaf,1
aaaah masa sih.? yg bener.? cieeeeeee...😂,bukan ujaran kebencian,ah masa sih yang bener cie,"['ah', 'masa', 'sih', 'yang', 'bener', 'cie']",ah sih bener cie,ah sih bener cie,1
"slide terakhir donk,favoriy",bukan ujaran kebencian,slide terakhir donk favoriy,"['slide', 'terakhir', 'donk', 'favoriy']",slide donk favoriy,slide donk favoriy,1
sumpah mbaperi terus rekkk mas kaesanghhgg,bukan ujaran kebencian,sumpah mbaperi terus rek kakak kaesanghhgg,"['sumpah', 'mbaperi', 'terus', 'rek', 'kakak', 'kaesanghhgg']",sumpah mbaperi rek kakak kaesanghhgg,sumpah mbaperi rek kakak kaesanghhgg,1
"bersama mba ersofgun, mari wujudkan harapan dan mimpi warga depok. woukeh? 🤗😅🤗",bukan ujaran kebencian,bersama kakak ersofgun mari wujudkan harapan dan mimpi warga depok woukeh,"['bersama', 'kakak', 'ersofgun', 'mari', 'wujudkan', 'harapan', 'dan', 'mimpi', 'warga', 'depok', 'woukeh']",kakak ersofgun mari wujudkan harapan mimpi warga depok woukeh,kakak ersofgun mari wujud harap mimpi warga depok woukeh,1
"intinya nyalon kan mas🙏☺️??? baik saya ikut ndorong dan bantu mbak erina mas,,tak dorong sampek jeruuu🫣",bukan ujaran kebencian,intinya nyalon kan mas baik aku ikut ndorong dan bantu kakak erina mas tak dorong sampai jeru,"['intinya', 'nyalon', 'kan', 'mas', 'baik', 'aku', 'ikut', 'ndorong', 'dan', 'bantu', 'kakak', 'erina', 'mas', 'tak', 'dorong', 'sampai', 'jeru']",intinya nyalon mas ndorong bantu kakak erina mas dorong jeru,inti nyalon mas ndorong bantu kakak erina mas dorong jeru,1
depok ya mas,bukan ujaran kebencian,depok ya kakak,"['depok', 'ya', 'kakak']",depok ya kakak,depok ya kakak,1
mase kurusan?,bukan ujaran kebencian,masa kurusan,"['masa', 'kurusan']",kurusan,kurus,1
5tt,bukan ujaran kebencian,tt,['tt'],tt,tt,1
5tt0,bukan ujaran kebencian,tt,['tt'],tt,tt,1
"caption yg normal aja,ga usah kepanjangan.. klo kebanyakan yg panjang2 gini malah jadi aneh.. bukan kaesang yg dulu.. 😢",bukan ujaran kebencian,caption yang normal aja ga usah kepanjangan kalau kebanyakan yang panjang begini malah jadi aneh bukan kaesang yang dulu,"['caption', 'yang', 'normal', 'aja', 'ga', 'usah', 'kepanjangan', 'kalau', 'kebanyakan', 'yang', 'panjang', 'begini', 'malah', 'jadi', 'aneh', 'bukan', 'kaesang', 'yang', 'dulu']",caption normal aja ga kepanjangan kebanyakan aneh kaesang,caption normal aja ga panjang banyak aneh kaesang,1
slide no 3 hayoo.. ngomongin siapa itu hayooo😂,bukan ujaran kebencian,slide no hayoo membicarakan siapa itu hayo,"['slide', 'no', 'hayoo', 'membicarakan', 'siapa', 'itu', 'hayo']",slide no hayoo membicarakan hayo,slide no hayoo bicara hayo,1
so lovely ❤️❤️❤️❤️❤️❤️❤️❤️❤️,bukan ujaran kebencian,sok lovely,"['sok', 'lovely']",sok lovely,sok lovely,1
kalo gini pgn cpt” jd istri aja😍,bukan ujaran kebencian,kalau begini ingin cpt jadi istri aja,"['kalau', 'begini', 'ingin', 'cpt', 'jadi', 'istri', 'aja']",cpt istri aja,cpt istri aja,1
mbk erina cantik banget,bukan ujaran kebencian,kakak erina cantik sekali,"['kakak', 'erina', 'cantik', 'sekali']",kakak erina cantik,kakak erina cantik,1
kaesang sprti spa y tumbuh jenggot ky gitu.,bukan ujaran kebencian,kaesang seperti spa iya tumbuh jenggot seperti gitu,"['kaesang', 'seperti', 'spa', 'iya', 'tumbuh', 'jenggot', 'seperti', 'gitu']",kaesang spa iya tumbuh jenggot gitu,kaesang spa iya tumbuh jenggot gitu,1
"masyaallah.. istri solehah, bismillah. dilancarkan semua urusan dan usaha mas dan mba 🤲🙏🏽",bukan ujaran kebencian,masyaallah istri solehah bismillah dilancarkan semua urusan dan usaha kakak dan kakak,"['masyaallah', 'istri', 'solehah', 'bismillah', 'dilancarkan', 'semua', 'urusan', 'dan', 'usaha', 'kakak', 'dan', 'kakak']",masyaallah istri solehah bismillah dilancarkan urusan usaha kakak kakak,masyaallah istri solehah bismillah lancar urus usaha kakak kakak,1
ditunggu di depok mas... kalo butuh team sukses  saya biisaaaaa 😄 @ika.honey @rizkilanniamelia,bukan ujaran kebencian,ditunggu di depok mas kalau butuh grup sukses aku biisa honey,"['ditunggu', 'di', 'depok', 'mas', 'kalau', 'butuh', 'grup', 'sukses', 'aku', 'biisa', 'honey']",ditunggu depok mas butuh grup sukses biisa honey,tunggu depok mas butuh grup sukses biisa honey,1
aku membacanya ..seperti membaca puisi,bukan ujaran kebencian,aku membacanya seperti membaca puisi,"['aku', 'membacanya', 'seperti', 'membaca', 'puisi']",membacanya membaca puisi,baca baca puisi,1
suaminya kurang maco,bukan ujaran kebencian,suaminya kurang maco,"['suaminya', 'kurang', 'maco']",suaminya maco,suami maco,1
lah istri ? dah nikah to mas ?,bukan ujaran kebencian,lah istri sudah nikah ke kakak,"['lah', 'istri', 'sudah', 'nikah', 'ke', 'kakak']",istri nikah kakak,istri nikah kakak,1
hhh...apakh anda pnya pengalaman di dunia politik???,bukan ujaran kebencian,h apakh kamu punya pengalaman di dunia politik,"['h', 'apakh', 'kamu', 'punya', 'pengalaman', 'di', 'dunia', 'politik']",h apakh pengalaman dunia politik,h apakh alam dunia politik,1
mas...sekarang agak putihan,bukan ujaran kebencian,mas sekarang agak putihan,"['mas', 'sekarang', 'agak', 'putihan']",mas putihan,mas putih,1
